117,1623,2023-10-15,Fare,120.00,18.00,138.00,Cash
118,1624,2023-11-20,Fare,150.00,22.50,172.50,Debit
119,1625,2023-01-10,Fare,80.00,12.00,92.00,Cash
120,1626,2023-02-05,Fare,100.00,15.00,115.00,Debit
121,1627,2023-03-12,Fare,90.00,13.50,103.50,Cash
122,1628,2023-04-18,Fare,70.00,10.50,80.50,Credit
123,1623,2023-05-25,Fare,110.00,16.50,126.50,Cash
124,1624,2023-06-30,Fare,130.00,19.50,149.50,Credit
125,1625,2023-08-08,Fare,95.00,14.25,109.25,Cash
126,1626,2023-09-19,Fare,120.00,18.00,138.00,Credit
127,1627,2023-10-24,Fare,85.00,12.75,97.75,Cash
128,1628,2023-11-03,Fare,75.00,11.25,86.25,Cash
129,1623,2023-12-14,Fare,100.00,15.00,115.00,Credit
130,1624,2023-01-22,Fare,140.00,21.00,161.00,Cash
131,1625,2023-02-09,Fare,160.00,24.00,184.00,Credit
132,1626,2023-03-06,Fare,75.00,11.25,86.25,Cash
133,1627,2023-04-15,Fare,110.00,16.50,126.50,Credit
134,1628,2023-05-20,Fare,90.00,13.50,103.50,Cash
135,1623,2023-06-28,Fare,130.00,19.50,149.50,Debit
136,1624,2023-07-31,Fare,75.00,11.25,86.25,Debit
137,1625,2023-09-10,Fare,85.00,12.75,97.75,Cash
138,1626,2023-10-21,Fare,120.00,18.00,138.00,Credit
139,1627,2023-11-26,Fare,110.00,16.50,126.50,Credit
140,1628,2023-12-05,Fare,95.00,14.25,109.25,Cash
141,1623,2023-01-16,Fare,80.00,12.00,92.00,Debit
