001,1626,2023-01-05,001,Daily,3,180.00,27.00,207.00
002,1624,2023-02-10,002,Daily,2,120.00,18.00,138.00
003,1624,2023-03-15,003,Weekly,7,300.00,45.00,345.00
004,1626,2023-04-20,004,Daily,4,240.00,36.00,276.00
005,1626,2023-05-25,001,Daily,1,60.00,9.00,69.00
006,1624,2023-06-30,002,Daily,3,180.00,27.00,207.00
007,1626,2023-08-08,003,Weekly,7,300.00,45.00,345.00
008,1624,2023-09-19,004,Daily,1,60.00,9.00,69.00
009,1624,2023-10-24,001,Daily,2,120.00,18.00,138.00
010,1626,2023-11-03,002,Weekly,7,300.00,45.00,345.00
011,1626,2023-12-14,003,Daily,3,180.00,27.00,207.00
