117,1623,2022-10-15,Fare Collection,120.00,18.00,138.00
118,1624,2022-11-20,Fare Collection,150.00,22.50,172.50
119,1625,2023-01-10,Fare Collection,80.00,12.00,92.00
120,1626,2023-02-05,Fare Collection,100.00,15.00,115.00
121,1627,2023-03-12,Fare Collection,90.00,13.50,103.50
122,1628,2023-04-18,Fare Collection,70.00,10.50,80.50
123,1623,2023-05-25,Fare Collection,110.00,16.50,126.50
124,1624,2023-06-30,Fare Collection,130.00,19.50,149.50
125,1625,2023-08-08,Fare Collection,95.00,14.25,109.25
126,1626,2023-09-19,Fare Collection,120.00,18.00,138.00
127,1627,2023-10-24,Fare Collection,85.00,12.75,97.75
128,1628,2023-11-03,Fare Collection,75.00,11.25,86.25
129,1623,2023-12-14,Fare Collection,100.00,15.00,115.00
130,1624,2024-01-22,Fare Collection,140.00,21.00,161.00
131,1625,2024-02-09,Fare Collection,160.00,24.00,184.00
132,1626,2024-03-06,Fare Collection,75.00,11.25,86.25
133,1627,2024-04-15,Fare Collection,110.00,16.50,126.50
134,1628,2024-05-20,Fare Collection,90.00,13.50,103.50
135,1623,2024-06-28,Fare Collection,130.00,19.50,149.50
136,1624,2024-07-31,Fare Collection,75.00,11.25,86.25
137,1625,2024-09-10,Fare Collection,85.00,12.75,97.75
138,1626,2024-10-21,Fare Collection,120.00,18.00,138.00
139,1627,2024-11-26,Fare Collection,110.00,16.50,126.50
140,1628,2024-12-05,Fare Collection,95.00,14.25,109.25
141,1623,2025-01-16,Fare Collection,80.00,12.00,92.00
